id,lat,lon,user,uid,version,changeset,timestamp
1323702364,43.5571400,1.2287830,Chouloute,306172,1,8426712,2011-06-13T13:56:14Z
1323702690,43.5611100,1.2281560,Chouloute,306172,1,8426712,2011-06-13T13:56:19Z
1323703033,43.5560250,1.2271300,Chouloute,306172,1,8426712,2011-06-13T13:56:25Z
1323703357,43.5667460,1.2287710,Chouloute,306172,1,8426712,2011-06-13T13:56:30Z
1323703708,43.5625240,1.2259350,Chouloute,306172,1,8426712,2011-06-13T13:56:38Z
1323703939,43.5501110,1.2228220,Chouloute,306172,1,8426712,2011-06-13T13:56:43Z
1323704200,43.5575140,1.2244450,Chouloute,306172,1,8426712,2011-06-13T13:56:48Z
1323704459,43.5693610,1.2465760,Chouloute,306172,1,8426712,2011-06-13T13:56:53Z
1323704664,43.5525430,1.2271560,Chouloute,306172,1,8426712,2011-06-13T13:56:57Z
1323705067,43.5588660,1.2250920,Chouloute,306172,1,8426712,2011-06-13T13:57:06Z
1323705375,43.5665500,1.2362840,Chouloute,306172,1,8426712,2011-06-13T13:57:11Z
1323705709,43.5662420,1.2233480,Chouloute,306172,1,8426712,2011-06-13T13:57:16Z
1323706015,43.5532000,1.2308550,Chouloute,306172,1,8426712,2011-06-13T13:57:20Z
1323706396,43.5497310,1.2200250,Chouloute,306172,1,8426712,2011-06-13T13:57:26Z
1323706776,43.5499110,1.2211340,Chouloute,306172,1,8426712,2011-06-13T13:57:33Z
1323707003,43.5528970,1.2294790,Chouloute,306172,1,8426712,2011-06-13T13:57:38Z
1323707237,43.5568140,1.2232970,Chouloute,306172,1,8426712,2011-06-13T13:57:43Z
1323707524,43.5670070,1.2242600,Chouloute,306172,1,8426712,2011-06-13T13:57:50Z
1323707715,43.5669200,1.2243100,Chouloute,306172,1,8426712,2011-06-13T13:57:55Z
1323707915,43.5514160,1.2301850,Chouloute,306172,1,8426712,2011-06-13T13:57:59Z
1323708218,43.5575430,1.2278190,Chouloute,306172,1,8426712,2011-06-13T13:58:07Z
1323708471,43.5518390,1.2224700,Chouloute,306172,1,8426712,2011-06-13T13:58:12Z
1323708785,43.5677830,1.2325380,Chouloute,306172,1,8426712,2011-06-13T13:58:18Z
1323709006,43.5669970,1.2325000,Chouloute,306172,1,8426712,2011-06-13T13:58:22Z
1323709184,43.5683430,1.2323500,Chouloute,306172,1,8426712,2011-06-13T13:58:26Z
1323709696,43.5537290,1.2324530,Chouloute,306172,1,8426712,2011-06-13T13:58:33Z
1323709993,43.5519450,1.2279230,Chouloute,306172,1,8426712,2011-06-13T13:58:38Z
1323710280,43.5567980,1.2277860,Chouloute,306172,1,8426712,2011-06-13T13:58:43Z
1323710659,43.5662840,1.2218510,Chouloute,306172,1,8426712,2011-06-13T13:58:49Z
1323710967,43.5568030,1.2235990,Chouloute,306172,1,8426712,2011-06-13T13:58:54Z
1323711380,43.5672530,1.2294850,Chouloute,306172,1,8426712,2011-06-13T13:59:03Z
1323711561,43.5554530,1.2284430,Chouloute,306172,1,8426712,2011-06-13T13:59:08Z
1323711758,43.5613640,1.2292050,Chouloute,306172,1,8426712,2011-06-13T13:59:14Z
1323711888,43.5507910,1.2250880,Chouloute,306172,1,8426712,2011-06-13T13:59:18Z
1323712209,43.5631720,1.2416880,Chouloute,306172,1,8426712,2011-06-13T13:59:24Z
1323712744,43.5506810,1.2210430,Chouloute,306172,1,8426712,2011-06-13T13:59:32Z
1323713072,43.5608170,1.2429340,Chouloute,306172,1,8426712,2011-06-13T13:59:41Z
1323713259,43.5694100,1.2383750,Chouloute,306172,1,8426712,2011-06-13T13:59:46Z
1323713441,43.5606410,1.2424530,Chouloute,306172,1,8426712,2011-06-13T13:59:52Z
1323713604,43.5535710,1.2325020,Chouloute,306172,1,8426712,2011-06-13T13:59:56Z
1323713781,43.5606060,1.2423200,Chouloute,306172,1,8426712,2011-06-13T14:00:01Z
1323713983,43.5530530,1.2327160,Chouloute,306172,1,8426712,2011-06-13T14:00:09Z
1323714154,43.5559050,1.2266430,Chouloute,306172,1,8426712,2011-06-13T14:00:13Z
1323714323,43.5677420,1.2299420,Chouloute,306172,1,8426712,2011-06-13T14:00:18Z
1323714476,43.5513230,1.2260250,Chouloute,306172,1,8426712,2011-06-13T14:00:22Z
